       sentence_id                        word    Tag
110            917                         for      O
111            917                     British  B-gpe
112            917                        news      O
113            917               organizations      O
114            917                     Reuters  B-org
115            917                         and      O
116            917                         the      O
117            917                    Guardian  B-org
118            917                   newspaper      O
119            917                           ,      O
120            917                        also      O
121            917                       calls      O
122            917                         for      O
123            917                           "      O
124            917           de-radicalization      O
125            917                           "      O
126            917                     classes      O
127            917                         for      O
128            917                  insurgents      O
129            917                         and      O
130            917                   thousands      O
131            917                          of      O
132            917                         new      O
133            917                        jobs      O
134            917                          to      O
135            917                          be      O
136            917                     created      O
137            917                         for      O
138            917                   militants      O
139            917                         who      O
140            917                    renounce      O
141            917                    violence      O
142            917                           .      O
143           2789                       After      O
144           2789                         the      O
145           2789                      ruling      O
146           2789                       junta      O
147           2789                          in      O
148           2789                      August  B-tim
149           2789                        2007  I-tim
150           2789                unexpectedly      O
151           2789                   increased      O
152           2789                        fuel      O
153           2789                      prices      O
154           2789                           ,      O
155           2789                        tens      O
156           2789                          of      O
157           2789                   thousands      O
158           2789                          of      O
159           2789                     Burmese  B-gpe
160           2789                     marched      O
161           2789                          in      O
162           2789                     protest      O
163           2789                           ,      O
164           2789                         led      O
165           2789                          by      O
166           2789                prodemocracy      O
167           2789                   activists      O
168           2789                         and      O
169           2789                    Buddhist      O
170           2789                       monks      O
171           2789                           .      O
172           1513                   Elsewhere      O
173           1513                          in      O
174           1513                northwestern      O
175           1513                    Pakistan  B-geo
176           1513                           ,      O
177           1513                    security      O
178           1513                   officials      O
179           1513                         say      O
180           1513                     fighter      O
181           1513                        jets      O
182           1513                    targeted      O
183           1513                           a      O
184           1513                   suspected      O
185           1513                    militant      O
186           1513                     hideout      O
187           1513                          in      O
188           1513                         the      O
189           1513                       South  B-geo
190           1513                  Waziristan  I-geo
191           1513                      tribal      O
192           1513                      region      O
193           1513                    Saturday  B-tim
194           1513                           .      O
195           2849                         And      O
196           2849                           a      O
197           2849                      Polish  B-gpe
198           2849                   newspaper      O
199           2849                      quoted      O
200           2849                      Warsaw  B-per
201           2849                          's      O
202           2849                     defense      O
203           2849                    minister      O
204           2849                       Jerzy  B-per
205           2849                Szmajdzinski  I-per
206           2849                           ,      O
207           2849                          as      O
208           2849                      saying      O
209           2849                      Poland  B-geo
210           2849                        will      O
211           2849                    withdraw      O
212           2849                     several      O
213           2849                     hundred      O
214           2849                          of      O
215           2849                         its      O
216           2849                      troops      O
217           2849                        from      O
218           2849                        Iraq  B-geo
219           2849                          in      O
220           2849                        July  B-tim
221           2849                           .      O
222           3157                          He      O
223           3157                        also      O
224           3157                    asserted      O
225           3157                        that      O
226           3157                         the      O
227           3157                        Bush  B-per
228           3157              administration      O
229           3157                     ordered      O
230           3157                      Israel  B-geo
231           3157                          to      O
232           3157                      attack      O
233           3157                   Hezbollah  B-org
234           3157                   positions      O
235           3157                          in      O
236           3157                         the      O
237           3157                     country      O
238           3157                        last      O
239           3157                        year      O
240           3157                           .      O
241           1415                        Last      O
242           1415                        week      O
243           1415                           ,      O
244           1415                         the      O
245           1415                        Bush  B-per
246           1415              administration      O
247           1415                   announced      O
248           1415                          it      O
249           1415                       would      O
250           1415                       spend      O
251           1415                        more      O
252           1415                        than      O
253           1415                           $      O
254           1415                          10      O
255           1415                     billion      O
256           1415                          in      O
257           1415                 Afghanistan  B-geo
258           1415                         for      O
259           1415                    security      O
260           1415                         and      O
261           1415              reconstruction      O
262           1415                           .      O
263            611                     Israeli  B-gpe
264            611                      police      O
265            611                         say      O
266            611                         the      O
267            611                      bomber      O
268            611                         was      O
269            611                     spotted      O
270            611                         and      O
271            611                   prevented      O
272            611                        from      O
273            611                    entering      O
274            611                         the      O
275            611                        club      O
276            611                           .      O
277           2513                         The      O
278           2513                        mass      O
279           2513                   defection      O
280           2513                     angered      O
281           2513                       North  B-geo
282           2513                       Korea  I-geo
283           2513                           ,      O
284           2513                       which      O
285           2513                   responded      O
286           2513                          by      O
287           2513                  boycotting      O
288           2513                 ministerial      O
289           2513                       talks      O
290           2513                          in      O
291           2513                      August  B-tim
292           2513                           .      O
293            589                         But      O
294            589                           a      O
295            589                     Ugandan  B-gpe
296            589                        High  B-org
297            589                       Court  I-org
298            589                       Judge      O
299            589                           ,      O
300            589                        John  B-per
301            589                       Bosco  I-per
302            589                     Katutsi  I-per
303            589                           ,      O
304            589                        said      O
305            589                         his      O
306            589                   detention      O
307            589                         was      O
308            589                     illegal      O
309            589                     because      O
310            589                         the      O
311            589                        High  B-org
312            589                       Court  I-org
313            589                         had      O
314            589                   suspended      O
315            589                         the      O
316            589                    military      O
317            589                       trial      O
318            589                           .      O
319            787                          In      O
320            787                         the      O
321            787                    northern      O
322            787                        city      O
323            787                          of      O
324            787                         Tal  B-geo
325            787                        Afar  I-geo
326            787                           ,      O
327            787                           a      O
328            787                         car      O
329            787                        bomb      O
330            787                    exploded      O
331            787                    Saturday  B-tim
332            787                           ,      O
333            787                     killing      O
334            787                         two      O
335            787                      people      O
336            787                         and      O
337            787                    wounding      O
338            787                          30      O
339            787                      others      O
340            787                           .      O
341           2325                        Half      O
342           2325                          of      O
343           2325                        them      O
344           2325                        were      O
345           2325                          at      O
346           2325                         the      O
347           2325                  Australian  B-eve
348           2325                        Open  I-eve
349           2325                           .      O
350            765                        U.S.  B-gpe
351            765                    military      O
352            765                   officials      O
353            765                        have      O
354            765                   announced      O
355            765                     changes      O
356            765                          to      O
357            765                    military      O
358            765                      trials      O
359            765                          of      O
360            765                   terrorism      O
361            765                    suspects      O
362            765                       being      O
363            765                        held      O
364            765                          at      O
365            765                         the      O
366            765                        U.S.  B-gpe
367            765                       naval      O
368            765                        base      O
369            765                          in      O
370            765                  Guantanamo  B-geo
371            765                         Bay  I-geo
372            765                           ,      O
373            765                        Cuba  B-geo
374            765                           .      O
375           2730                        Both      O
376           2730                 governments      O
377           2730                      remain      O
378           2730                          on      O
379           2730                           a      O
380           2730                        U.S.  B-geo
381           2730                        list      O
382           2730                          of      O
383           2730                   countries      O
384           2730                  supporting      O
385           2730                   terrorism      O
386           2730                           ,      O
387           2730                         and      O
388           2730                  Washington  B-geo
389           2730                     accuses      O
390           2730                        both      O
391           2730                   countries      O
392           2730                          of      O
393           2730                     failing      O
394           2730                          to      O
395           2730                        stop      O
396           2730                     Islamic      O
397           2730                  insurgents      O
398           2730                        from      O
399           2730                    crossing      O
400           2730                       their      O
401           2730                     borders      O
402           2730                        into      O
403           2730                        Iraq  B-geo
404           2730                           .      O
405           1388                         The      O
406           1388                       group      O
407           1388                        says      O
408           1388                         the      O
409           1388                    dolphins      O
410           1388                      suffer      O
411           1388                        from      O
412           1388                        cuts      O
413           1388                           ,      O
414           1388                   scratches      O
415           1388                         and      O
416           1388                     sunburn      O
417           1388                           ,      O
418           1388                         and      O
419           1388                      appear      O
420           1388                          to      O
421           1388                          be      O
422           1388              undernourished      O
423           1388                         and      O
424           1388                    stressed      O
425           1388                           .      O
426           1349                          He      O
427           1349                        said      O
428           1349                        that      O
429           1349                          if      O
430           1349                          he      O
431           1349                         can      O
432           1349                         not      O
433           1349                    continue      O
434           1349                         his      O
435           1349                    policies      O
436           1349                   regarding      O
437           1349                      Israel  B-org
438           1349                           ,      O
439           1349                          he      O
440           1349                        will      O
441           1349                      resign      O
442           1349                           .      O
443            660                    Millions      O
444            660                          of      O
445            660                   Georgians  B-gpe
446            660                        have      O
447            660                        also      O
448            660                        been      O
449            660                     without      O
450            660                 electricity      O
451            660                     because      O
452            660                          of      O
453            660                           a      O
454            660                   breakdown      O
455            660                          of      O
456            660                           a      O
457            660                        unit      O
458            660                          at      O
459            660                           a      O
460            660                       power      O
461            660                     station      O
462            660                           ,      O
463            660                          as      O
464            660                        well      O
465            660                          as      O
466            660                      downed      O
467            660                       power      O
468            660                       lines      O
469            660                           .      O
470            407                           A      O
471            407                    military      O
472            407                   statement      O
473            407                   Wednesday  B-tim
474            407                           ,      O
475            407                        said      O
476            407                     General  B-per
477            407                        Adam  I-per
478            407                         has      O
479            407                       asked      O
480            407                          to      O
481            407                       leave      O
482            407                         his      O
483            407                        post      O
484            407                           "      O
485            407                          as      O
486            407                        soon      O
487            407                          as      O
488            407                    possible      O
489            407                           ,      O
490            407                           "      O
491            407                         and      O
492            407                         the      O
493            407                       chief      O
494            407                          of      O
495            407                       staff      O
496            407                         has      O
497            407                    accepted      O
498            407                         the      O
499            407                     request      O
500            407                          to      O
501            407                       begin      O
502            407                         the      O
503            407                     process      O
504            407                          of      O
505            407                         his      O
506            407                 replacement      O
507            407                           .      O
508           2747                    Election      O
509           2747                 authorities      O
510           2747                          in      O
511           2747                     Liberia  B-geo
512           2747                        have      O
513           2747                       begun      O
514           2747                   releasing      O
515           2747                     returns      O
516           2747                        from      O
517           2747                         the      O
518           2747                     country      O
519           2747                          's      O
520           2747                       first      O
521           2747                    post-war      O
522           2747                    election      O
523           2747                           ,      O
524           2747                          in      O
525           2747                       which      O
526           2747                       large      O
527           2747                     numbers      O
528           2747                      turned      O
529           2747                         out      O
530           2747                          to      O
531           2747                       elect      O
532           2747                           a      O
533           2747                         new      O
534           2747                   president      O
535           2747                         and      O
536           2747                  parliament      O
537           2747                           .      O
538           2453                        They      O
539           2453                     include      O
540           2453                      cities      O
541           2453                        such      O
542           2453                          as      O
543           2453                       Miami  B-geo
544           2453                          in      O
545           2453                         the      O
546           2453                southeastern      O
547           2453                       state      O
548           2453                          of      O
549           2453                     Florida  B-geo
550           2453                           ,      O
551           2453                     Oakland  B-geo
552           2453                          in      O
553           2453                         the      O
554           2453                     western      O
555           2453                       state      O
556           2453                          of      O
557           2453                  California  B-org
558           2453                         and  I-org
559           2453                     Phoenix  I-org
560           2453                          in      O
561           2453                         the      O
562           2453                southwestern      O
563           2453                       state      O
564           2453                          of      O
565           2453                     Arizona  B-geo
566           2453                         and      O
567           2453                         New  B-geo
568           2453                        York  I-geo
569           2453                        City  I-geo
570           2453                           ,      O
571           2453                       among      O
572           2453                      others      O
573           2453                           .      O
574           2813                           "      O
575           2813                         You      O
576           2813                         can      O
577           2813                         not      O
578           2813                      escape      O
579           2813                        your      O
580           2813                        fate      O
581           2813                           .      O
582           2813                           "      O
583           1997                          He      O
584           1997                        said      O
585           1997                       those      O
586           1997                   countries      O
587           1997                        were      O
588           1997                         out      O
589           1997                          to      O
590           1997                     destroy      O
591           1997                        Iraq  B-geo
592           1997                         and      O
593           1997                   cooperate      O
594           1997                        with      O
595           1997                     America  B-geo
596           1997                           .      O
597           1825                         The      O
598           1825                        U.S.  B-geo
599           1825                    military      O
600           1825                        says      O
601           1825                          it      O
602           1825                         has      O
603           1825                   uncovered      O
604           1825                           a      O
605           1825                       large      O
606           1825                   stockpile      O
607           1825                          of      O
608           1825                     weapons      O
609           1825                      inside      O
610           1825                           a      O
611           1825                    Fallujah  B-org
612           1825                      mosque      O
613           1825                         led      O
614           1825                          by      O
615           1825                           a      O
616           1825                         key      O
617           1825                   insurgent      O
618           1825                      leader      O
619           1825                           .      O
620           2512                       South      O
621           2512                      Korean  B-gpe
622           2512                 Unification      O
623           2512                    Minister  B-per
624           2512                       Chung  I-per
625           2512                  Dong-young  I-per
626           2512                        told      O
627           2512                   reporters      O
628           2512                     Tuesday  B-tim
629           2512                        that      O
630           2512                       Seoul  B-org
631           2512                         has      O
632           2512                          no      O
633           2512                       plans      O
634           2512                          to      O
635           2512                      repeat      O
636           2512                        last      O
637           2512                        July  B-tim
638           2512                          's      O
639           2512                     airlift      O
640           2512                          of      O
641           2512                         468      O
642           2512                       North      O
643           2512                      Korean  B-gpe
644           2512                    refugees      O
645           2512                        from      O
646           2512                           a      O
647           2512                       third      O
648           2512                     country      O
649           2512                        that      O
650           2512                         was      O
651           2512                       never      O
652           2512                  officially      O
653           2512                  identified      O
654           2512                         but      O
655           2512                    believed      O
656           2512                          to      O
657           2512                          be      O
658           2512                     Vietnam  B-geo
659           2512                           .      O
660            938                     Smaller      O
661            938                    protests      O
662            938                        took      O
663            938                       place      O
664            938                          at      O
665            938                         two      O
666            938                       other      O
667            938                       Cairo  B-geo
668            938                   locations      O
669            938                           .      O
670           1035                    Abramoff  B-per
671           1035                         has      O
672           1035                     pleaded      O
673           1035                      guilty      O
674           1035                          to      O
675           1035                       fraud      O
676           1035                         and      O
677           1035                         tax      O
678           1035                     evasion      O
679           1035                           .      O
680           1499                         The      O
681           1499                         New  B-org
682           1499                        York  I-org
683           1499                       Times  I-org
684           1499                        says      O
685           1499                         the      O
686           1499                       panel      O
687           1499               investigating      O
688           1499                        U.S.  B-org
689           1499                intelligence      O
690           1499                          on      O
691           1499                      global      O
692           1499                     weapons      O
693           1499               proliferation      O
694           1499                        will      O
695           1499                      submit      O
696           1499                         the      O
697           1499                  classified      O
698           1499                      report      O
699           1499                          to      O
700           1499                   President  B-per
701           1499                        Bush  I-per
702           1499                       later  B-tim
703           1499                        this      O
704           1499                       month      O
705           1499                           .      O
706            328                        They      O
707            328                         say      O
708            328                         the      O
709            328                     company      O
710            328                         has      O
711            328                    produced      O
712            328                        some      O
713            328                      shoddy      O
714            328                        work      O
715            328                         and      O
716            328                     charges      O
717            328                         too      O
718            328                        much      O
719            328                       money      O
720            328                           .      O
721            600                       World  B-org
722            600                        Bank  I-org
723            600                      member      O
724            600                     nations      O
725            600                     meeting      O
726            600                          in      O
727            600                  Washington  B-geo
728            600                        have      O
729            600                    approved      O
730            600                           a      O
731            600                        debt      O
732            600                      relief      O
733            600                        plan      O
734            600                         for      O
735            600                          17      O
736            600                     African  B-gpe
737            600                         and      O
738            600                       Latin  B-gpe
739            600                    American  I-gpe
740            600                   countries      O
741            600                        that      O
742            600                       could      O
743            600                       total      O
744            600                           $      O
745            600                          37      O
746            600                     billion      O
747            600                        over      O
748            600                          40      O
749            600                       years      O
750            600                           .      O
751            922                        They      O
752            922                        said      O
753            922                 preliminary      O
754            922               investigation      O
755            922                   indicates      O
756            922                        that      O
757            922                           a      O
758            922                   technical      O
759            922                     problem      O
760            922                      rather      O
761            922                        than      O
762            922                       pilot      O
763            922                       error      O
764            922                       cause      O
765            922                         the      O
766            922                       crash      O
767            922                           .      O
768            899                         The      O
769            899                  repository      O
770            899                          is      O
771            899                    designed      O
772            899                          to      O
773            899                      shield      O
774            899                       plant      O
775            899                       seeds      O
776            899                         and      O
777            899                    preserve      O
778            899                        crop      O
779            899                   diversity      O
780            899                          in      O
781            899                         the      O
782            899                       event      O
783            899                          of      O
784            899                    disaster      O
785            899                        such      O
786            899                          as      O
787            899                     climate      O
788            899                      change      O
789            899                           ,      O
790            899                    epidemic      O
791            899                          or      O
792            899                     nuclear      O
793            899                         war      O
794            899                           .      O
795           2858                       Seats      O
796           2858                          in      O
797           2858                        Iraq  B-geo
798           2858                          's      O
799           2858                  325-member      O
800           2858                  parliament      O
801           2858                         are      O
802           2858                         won      O
803           2858                   according      O
804           2858                          to      O
805           2858                         how      O
806           2858                        well      O
807           2858                           a      O
808           2858                   coalition      O
809           2858                        does      O
810           2858                          in      O
811           2858                           a      O
812           2858                    province      O
813           2858                           ,      O
814           2858                         not      O
815           2858                   according      O
816           2858                          to      O
817           2858                         the      O
818           2858                     overall      O
819           2858                        vote      O
820           2858                           .      O
821            428                         The      O
822            428                        army      O
823            428                        says      O
824            428                          it      O
825            428                    targeted      O
826            428                           a      O
827            428                         man      O
828            428                         who      O
829            428                         was      O
830            428                  collecting      O
831            428                           a      O
832            428                      rocket      O
